question,answer
"Can I update my name on my credit card?","Unfortunately, updating your name cannot be done online, please contact your Program Administrator."
"How do I increase my credit limit?","You can request your company Program Administrator to increase the credit limit on your card."
"How can I check my balance and balance due?","You can check your current balance and balance due in our app. Please follow these steps: 1. Login to the app 2. Third box in the dashboard shows the 'Current Balance' (sum of your last statement balance + Unbilled transactions - Payments). 3. Fourth box in the dashboard shows the 'Statement Balance' and due date for the payment."
"Do I have access to someone who can help me understand my statements?","Yes. If you have any questions in understanding your statement and the payment due, please contact our customer service team."
"My card is temporarily blocked, what should I do?","If you received a SMS/Push Notification to verify a potential fraudulent transaction, please follow the instructions in the notification to unblock your card. If not, please contact our customer service team."
"How can I dispute fraudulent charges in my card?","You can dispute unauthorized transactions online in our app, or you can contact your Company Program Administrator. "
"What information should I have ready before calling customer services?","Please have your card in hand when calling our customer service team. The agents may ask you additional questions to verify your identity."
"Does my online password expire?","Your password expires every 90 days, and you can either continue with the same password or setup a new one."
"Is it possible to update my mailing address?","The mailing address can be easily updated through the Card Services -> Maintenance tab in your app."
