question,answer
"How will my claim affect my premium?","Your claim will not impact your current rate. But when you renew your policy, your rate may increase. We'll typically send you your new rate 30 days before your policy renewal date."
"My vehicle was determined to be a total loss. What does that mean?","Generally, a vehicle is a total loss when the cost to repair it and return it to its pre-loss condition is greater than the value of the vehicle. In some states, a vehicle may be a total loss if the repair costs would exceed a percentage (e.g., 80%) of the vehicle's value. A vehicle may also be a total loss if it cannot be returned to its pre-loss condition."
"Do I have to report an accident or claim?","We encourage you to contact us any time you have a loss, especially if you're looking to get something repaired. Technically, you’re required to report a claim even if it's not your fault. We're here to protect your interests and help when you're involved in an auto accident, no matter who was at fault. "
"Do I have to get my car repaired?","The decision to repair is yours—and it’s OK to not repair your vehicle. If you don’t own your vehicle, check with your lienholder or leasing company before making a decision. They may require that you repair. If you don’t repair, we’ll issue payment to you (minus your deductible)."
"Who pays my deductible if I'm not at fault?","If another person is found to be at fault for the accident, we'll work with you to make sure either they or their insurance company pays for your damages and losses and recover any money you may have paid toward your deductible or repairs. We can't promise that we'll always be able to recover your deductible from the other insurance company or driver, but we'll do our best to make it happen. If there is shared responsibility, the amount you receive back may be prorated."
"How is fault determined?","Liability, or fault, will be determined based on state laws and the circumstances of the accident. Depending on the facts of the loss, there may be shared responsibility."
"Will you pay for a rental while my car is in the shop?","We offer an optional coverage that can pay for some or all of your rental car fees. Just check your policy or work with your claims rep to see how your coverages apply. Even if you don't have coverage for rental car fees, your claims rep can still help you find a rental and offer you a discount."
"Does car insurance cover mechanical problems?","Only if you have a vehicle protection plan like our Vehicle Protection. In states where it's available, Vehicle Protection may cover major system failures, minor dents and dings, and even your lost, stolen, or damaged keys. This car insurance coverage is available in some states for newer cars"
"What if my repairs cost more than your estimate?","Your estimate includes all damages related to your loss that we can see without taking anything apart on your vehicle. If additional loss-related damage is found during the repair process, we’ll re-inspect your vehicle. Finding additional damage isn’t unusual—we can’t always see all the damaged parts when writing the initial estimate. We’ll work with you and the shop to update the estimate if needed."
